# I comuni del Lazio con la sigla della provincia (elenco ISTAT, 378 comuni).
# Serve a ricavare la provincia di un campo dal comune, che presenze e i
# Comunicati Ufficiali danno senza provincia. Una riga: comune;sigla.
Acquafondata;FR
Acuto;FR
Alatri;FR
Alvito;FR
Amaseno;FR
Anagni;FR
Aquino;FR
Arce;FR
Arnara;FR
Arpino;FR
Atina;FR
Ausonia;FR
Belmonte Castello;FR
Boville Ernica;FR
Broccostella;FR
Campoli Appennino;FR
Casalattico;FR
Casalvieri;FR
Cassino;FR
Castelliri;FR
Castelnuovo Parano;FR
Castro dei Volsci;FR
Castrocielo;FR
Ceccano;FR
Ceprano;FR
Cervaro;FR
Colfelice;FR
Colle San Magno;FR
Collepardo;FR
Coreno Ausonio;FR
Esperia;FR
Falvaterra;FR
Ferentino;FR
Filettino;FR
Fiuggi;FR
Fontana Liri;FR
Fontechiari;FR
Frosinone;FR
Fumone;FR
Gallinaro;FR
Giuliano di Roma;FR
Guarcino;FR
Isola del Liri;FR
Monte San Giovanni Campano;FR
Morolo;FR
Paliano;FR
Pastena;FR
Patrica;FR
Pescosolido;FR
Picinisco;FR
Pico;FR
Piedimonte San Germano;FR
Piglio;FR
Pignataro Interamna;FR
Pofi;FR
Pontecorvo;FR
Posta Fibreno;FR
Ripi;FR
Rocca d'Arce;FR
Roccasecca;FR
San Biagio Saracinisco;FR
San Donato Val di Comino;FR
San Giorgio a Liri;FR
San Giovanni Incarico;FR
San Vittore del Lazio;FR
Sant'Ambrogio sul Garigliano;FR
Sant'Andrea del Garigliano;FR
Sant'Apollinare;FR
Sant'Elia Fiumerapido;FR
Santopadre;FR
Serrone;FR
Settefrati;FR
Sgurgola;FR
Sora;FR
Strangolagalli;FR
Supino;FR
Terelle;FR
Torre Cajetani;FR
Torrice;FR
Trevi nel Lazio;FR
Trivigliano;FR
Vallecorsa;FR
Vallemaio;FR
Vallerotonda;FR
Veroli;FR
Vicalvi;FR
Vico nel Lazio;FR
Villa Latina;FR
Villa Santa Lucia;FR
Villa Santo Stefano;FR
Viticuso;FR
Aprilia;LT
Bassiano;LT
Campodimele;LT
Castelforte;LT
Cisterna di Latina;LT
Cori;LT
Fondi;LT
Formia;LT
Gaeta;LT
Itri;LT
Latina;LT
Lenola;LT
Maenza;LT
Minturno;LT
Monte San Biagio;LT
Norma;LT
Pontinia;LT
Ponza;LT
Priverno;LT
Prossedi;LT
Rocca Massima;LT
Roccagorga;LT
Roccasecca dei Volsci;LT
Sabaudia;LT
San Felice Circeo;LT
Santi Cosma e Damiano;LT
Sermoneta;LT
Sezze;LT
Sonnino;LT
Sperlonga;LT
Spigno Saturnia;LT
Terracina;LT
Ventotene;LT
Accumoli;RI
Amatrice;RI
Antrodoco;RI
Ascrea;RI
Belmonte in Sabina;RI
Borbona;RI
Borgo Velino;RI
Borgorose;RI
Cantalice;RI
Cantalupo in Sabina;RI
Casaprota;RI
Casperia;RI
Castel Sant'Angelo;RI
Castel di Tora;RI
Castelnuovo di Farfa;RI
Cittaducale;RI
Cittareale;RI
Collalto Sabino;RI
Colle di Tora;RI
Collegiove;RI
Collevecchio;RI
Colli sul Velino;RI
Concerviano;RI
Configni;RI
Contigliano;RI
Cottanello;RI
Fara in Sabina;RI
Fiamignano;RI
Forano;RI
Frasso Sabino;RI
Greccio;RI
Labro;RI
Leonessa;RI
Longone Sabino;RI
Magliano Sabina;RI
Marcetelli;RI
Micigliano;RI
Mompeo;RI
